"API Key","API sleutel"
"City","Plaatsnaam"
"Company Name","Bedrijfsnaam"
"Country Code","Landcode"
"Country code, use ISO 3166-1 alpha-2 format e.g. NL","Landcode in ISO 3166-1 alpha-2 formaat, bv NL"
"Dimensions (l x w x h)","Afmetingen (l x b x h)"
"E-mail","E-mail"
"Enable Connector","Module inschakelen"
"Enable mapping","Mapping activeren"
"Enter the API key provided by Wuunder.","Voer de door Wuunder toegestuurde API sleutel in"
"Filter name (%s)","Filternaam (%s)"
"Firstname","Voornaam"
"General Information","Algemene informatie"
"Grams (g)","Gram (g)"
"Housenumber","Huisnummer"
"If Enabled, see /var/log/wuunder.log for debug info","Indien ingeschakeld, zie /var/log/wuunder.log voor debug info"
"If Yes, staging API is used. Set to No, for live mode.","Ja = staging API (testfase). Nee = Live/Productie"
"Kilograms (kg)","Kilogram (kg)"
"Lastname","Achternaam"
"Magento settings","Magento instellingen"
"Mapping Wuunder filter - Shipping method","Mapping van Wuunder filters - verzendmethoden"
"No","Nee"
"Phonenumber","Telefoonnummer"
"Phonenumber with country code prefix e.g. +31612345678","Telefoonnummer inclusief landnummer, bv +31612345678"
"Separate Field for Housenumber","Apart adresveld voor huisnummer"
"Settings","Instellingen"
"Shipping method (%s)","Verzendmethode (%s)"
"Street Name","Straatnaam"
"Testmode","Testmode"
"Used when Testmode = No","Gebruikt als Testmode = Nee"
"Used when Testmode = Yes","Gebruikt als Testmode = Ja"
"Version Information","Versie"
"Weight Unit","Eenheid gewicht"
"Dimensions Unit","Eenheid dimensies"
"Wuunder enabled shipping methods","Wuunder geactiveerde verzendmethoden"
"Wuunder is enabled for the following selected shipping methods","Wuunder is geactiveerd voor de volgende geselecteerde verzendmethoden"
"Yes","Ja"
"Zipcode","Postcode"
"Shipping method name","Naam verzendmethode"
"carrier","vervoerder"
"Name in checkout","Naam in checkout"
"Price":"Prijs"
"Choose Carriers","Kies vervoerder"
"Duplicated carrier","Dubbele vervoerder"
"Cost is not a numeric value":"Kosten is geen getal"
"Name cannot be empty":"Naam mag niet leeg zijn"
"Limit":"Limiet"




